Class II,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6
Lable,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5
1.0,,-0.23293330491915681,-0.21676438226157857,-0.1834111215329116,-0.2284551080137943,-0.22135167027783262,,,-0.22024136150988347,,,-0.22890762174818138,-0.14822988636198908,-0.0724004462146982,-0.173589295365188,-0.07151206946359429,-0.10603434210915395,-0.09398135779072335,-0.18160266155757693,-0.14561185899289675,-0.16036322703131775,-0.14851349534025213,-0.15820485340259982,-0.2044220894811324,-0.1878580780089644,-0.20175541989212786,,-0.20465161800820697,-0.2151092522603473
2.0,-0.21537546225188325,-0.2257666895397946,,-0.17223078143676895,-0.21838975043877112,-0.20779908079301512,-0.22105459188606133,-0.22540842228277372,-0.2080328098036402,-0.23152437805286458,-0.20716141857039277,-0.2175895887550992,,-0.15114166812265525,-0.25083598706115057,,,,-0.2491933451087042,-0.22107603793107763,,-0.23806974754726964,-0.19707222020490092,-0.19491734339091493,-0.1837668275340451,-0.19537543774790597,-0.20345896575045316,-0.19538148280278422,-0.2067996762451874
3.0,-0.22553219122499468,-0.23319130307281385,-0.21732340183893623,-0.18325645279640368,-0.2306535940104441,-0.22528959250549657,-0.23605529865739924,-0.23361321533657775,,,-0.2309981747021127,-0.23178508776337178,,,-0.2522929220233528,,,-0.18407662454816529,-0.24910669038620276,-0.22625676615240284,,-0.24093532504876786,-0.19874547707830872,,-0.1906708127104714,-0.20336259096662648,-0.21641801558139648,-0.20686259853133943,
4.0,-0.22360994584389432,-0.22906333261430123,-0.2137151845669004,-0.18241682251250366,-0.22514413512727352,-0.2269261316130972,,,-0.21723238512975884,,-0.22652524421658804,-0.22838693742162314,-0.22660149378201785,-0.13867367154023624,-0.21514108048719577,,-0.22281378869458843,-0.1680480733435539,,-0.20080247392211625,,-0.198925402453988,-0.16329633503168353,-0.2071556444252847,-0.1906708127104714,-0.20343564419728552,-0.21433679772846126,-0.20542412927532555,-0.2150033977888166
5.0,6.125228856174503,5.417197593708501,6.079650987383294,3.283311843021414,5.698769090086431,5.756184133004046,4.387618047113313,,4.502421058318146,4.998198948419938,5.536845686381913,4.919153123809812,0.13214138469091535,0.032613307542276516,0.19763773300394177,0.2086173350021026,0.14040349614089523,0.08845230177589278,0.1607701470456331,0.16398951680497117,0.2775217807309013,0.15301202855526064,,6.7802872840567,7.394693533720539,7.060222729153096,5.724681966550226,6.1444852948414805,5.738066835772526
6.0,0.23313114247891487,0.38136029893825524,0.270649869232725,0.07797904316544256,0.30122109048025414,0.2919846201140759,0.36737627390689226,0.4046415433631484,0.4638321538928709,0.47169708985870884,0.4735166864546356,0.46069766212087365,0.13085154786038894,0.09384587268747978,,0.1501077306728095,0.22645967615189969,0.02004784615947386,0.2268588154067353,0.2380527845404468,0.2699792638507865,0.2774003490329168,0.2802362547694831,0.09957931449147081,0.13395596502957202,,0.3218404203303963,0.3614393108723645,
7.0,-0.22662319536021383,-0.2343379615335118,-0.21783160145471592,-0.1835215992018458,,,-0.2354269968031024,-0.23468114078167604,-0.22066064510383523,,-0.2306301487760885,-0.23247019871936947,-0.23445267448956994,-0.14291240851006323,-0.23856859467940772,,,-0.17421122550510962,,-0.21573671598869146,,-0.22788721001767398,-0.1903313853720295,-0.20755690019690337,-0.19120546476117106,-0.20343564419728552,-0.21541903101198756,-0.20611672558377667,-0.21722634169096128
8.0,-0.2132194302703788,,-0.20405939186708624,-0.16699413992928713,-0.21227107254448072,-0.2092566234357219,-0.22744232740474624,-0.22397583936861745,-0.2125216106330064,-0.23377544266323597,-0.21571094392880064,-0.2204944592085295,,-0.13292655519826363,-0.24066658102497895,,,-0.17016053185829208,-0.2391991671135375,-0.21375429447542926,,-0.22977904759147863,-0.18313638081637598,-0.19358818364742802,-0.18404577643006234,-0.18957988144895632,-0.2019049897535949,,
9.0,-0.11663958801455188,-0.12130610377021088,-0.09629566334100234,-0.11473820252340315,-0.09840009303125803,-0.11919583067057611,-0.11586638977919264,-0.11585489979293336,,-0.12430700438850913,-0.11597591797624802,,-0.05592243318605534,-0.0557891797113222,-0.005400723328561857,-0.044790418067164224,-0.05461166260023423,-0.0075883379147813484,0.00860445433309531,-0.031556541263211765,-0.0302248802267977,-0.06018137332804942,-0.08350588583975176,-0.09676015025869507,-0.0799978382156381,-0.1119486483352947,-0.04642414135364774,,-0.08358507138345359
10.0,-0.1750083092487754,-0.1810756760340918,,-0.14803617194017574,,-0.17862265701532307,,,-0.17493406962226954,-0.18344608452271038,-0.16667856670773304,-0.18171717909905913,,-0.1429696887393852,-0.23113822637217632,-0.23894715682619652,,-0.16857074349153037,,-0.20878502454885203,-0.2257616372815193,-0.21442177787471142,-0.1781405138657727,-0.1847103997003647,-0.1744452852588029,-0.18580546453157315,-0.18503325035913337,,-0.20153341628653512
11.0,,-0.10697287301148643,-0.14175411897249587,-0.11601974348304006,-0.12019953851611086,-0.13392468263898155,-0.14060577529213214,-0.1392450717367937,-0.12067383981674387,,-0.11407916897289264,-0.12984057751091252,0.20824175769197373,0.003935006061735422,0.05643159646730104,,0.0986322670407106,,0.09918752425460604,0.15376022179653825,0.09748908615197117,0.09372517752911765,,,-0.13755429376052516,,-0.11621431335540877,-0.09109246174177826,-0.1275676043044591
12.0,-0.21288173851423953,-0.20793615047594138,-0.20774383908148902,-0.17002122805808464,-0.2095428308859876,-0.20874520496459673,,-0.22191812936464755,-0.20773684491379185,,-0.21517305988307298,-0.21572608695478546,-0.10294539763807262,-0.10694042449585588,-0.15394981207470185,-0.1483097866561089,-0.1447332445518956,-0.1056761023516966,-0.13700436437683314,-0.10480040810653901,-0.14348235591867992,-0.12572798103222252,-0.11309862882944964,-0.19827786047822138,,-0.19152796759986376,-0.1986860394743884,-0.18499253817601735,
13.0,-0.21916800043621643,-0.21759674800732168,,-0.17349022686261903,-0.21889301831752228,-0.21490779754165523,-0.22545270486613947,-0.22632006595541862,-0.21081981251637855,-0.23341416068873191,-0.22137288125224955,-0.2230704764030809,-0.2517252720461845,-0.1379863087883724,,,,-0.15452398326466305,-0.2467958977861642,-0.22403645405754918,,-0.23615008883267374,,-0.19672299436319898,-0.18062865245385135,-0.1938656709809527,-0.20295947346574872,-0.19269101252764717,-0.20388867827809318
14.0,-0.14804492133550257,,-0.12569501111385759,-0.1477047389333731,-0.15865979956593623,-0.17430117093431524,-0.1637220476814714,-0.1584937767106387,-0.16082640987283287,-0.17174610673300233,-0.16059198408502545,-0.167987555540865,-0.21359096575236014,-0.13307930247645558,-0.2082643474656012,-0.19412274506178032,,-0.14966750647304847,-0.20575044422797967,-0.1913661475189882,-0.18601377054821602,,-0.1741007936999739,-0.16665388997752406,-0.1499442738919568,-0.16914932794131451,-0.15975339083881357,-0.17236597470656223,-0.1724763638513582
15.0,-0.22750638918396263,,-0.21648487247289974,,-0.23195149538196025,,,,,-0.24333551952703542,-0.23040367128315056,-0.2321687498987305,,,-0.2540412439779955,,,-0.1847517401559682,-0.2507820150212307,-0.22675897960242927,,-0.24215945524358265,-0.19864986239982826,-0.2060521910533333,-0.19076379567581048,-0.2036548038892626,-0.21677876000923857,-0.20731544996378823,-0.21473876160998986
16.0,-0.017566022021081235,0.10378295206479773,0.006589348873596501,-0.03917147697239968,0.09803330638024685,,0.031260961101992536,-0.015001062636332819,0.0485687496948548,-0.02009105020464886,0.023109572374274537,,0.5192045935732329,0.1955946533731013,0.5221845651841119,0.30376494922291714,0.2715515007303308,0.22863679104774523,0.31845285709076293,0.4333080874533513,0.3089190037755061,,0.22714620454321574,-0.10413322506218833,-0.03406425333813537,-0.03857885367674311,-0.08568978484569222,-0.043223401499983195,-0.08072700065212471
17.0,0.9805988565486888,2.084606776458998,0.9614964269236396,,0.6873864801809458,0.5385906068906421,0.8683161064890059,1.2234277962086386,0.9398176879914344,1.3262679141663631,0.5174250103979819,1.4850481590904097,0.7738632478089043,0.3280265435655334,1.0378521257059714,,2.137074453850241,1.078955788036945,0.9509167917213109,1.0257613647634691,1.5514289372842551,1.1981131823783773,1.4874193779243479,0.41501650795520645,1.2313641677026625,,0.9336074708078609,,1.5412016757591307
18.0,-0.21755747052232152,,-0.20037494465268346,0.0036054764389286077,-0.21992604185811676,-0.15612024428581475,,-0.2262419250691919,,-0.23608208911583875,-0.12611078578522159,-0.21071107475688222,-0.24227581526602363,-0.022853047851180128,-0.24468772152065713,,,-0.1816810530366065,-0.24598712037615073,-0.2238249957628012,-0.25682962347818256,-0.2321160234179432,-0.12003069301928194,-0.032057657085182746,-0.18471990292877064,-0.18597592206977756,-0.20268197775202404,,-0.21285984474031994
19.0,,-0.21934540215988604,-0.2100815573140756,-0.17488224549119014,,-0.218334301298194,-0.22995553482193373,-0.22728380355221464,-0.21459336486194466,-0.23694360767042533,-0.22601566985747765,-0.2250984048328341,,-0.14810581596858996,-0.2467565691669843,,,-0.18015659843834184,-0.2422609673085886,-0.22118176707845164,,-0.22977904759147863,-0.19422768352010766,-0.19777629076369801,,-0.19571635282431477,-0.20773239974181348,-0.19679331373924228,-0.1699623201525041
20.0,-0.13666730678250308,-0.14294928221588477,-0.1517910613841448,-0.1235764160381404,,-0.13489637773411942,-0.10241025839966787,-0.12036102423200667,-0.12716040365258627,,-0.11648549233535842,-0.128497760037157,,-0.12030581133765267,-0.1887122802728472,-0.08451763621260822,-0.13545419737436573,-0.16205914456465698,,,-0.1777229881045978,-0.17458190426164866,-0.15478662864692389,-0.1649234744624185,-0.1666812076529902,,-0.10189553452721446,-0.15182783032903077,-0.1695389022663813
21.0,-0.2142844581166641,-0.21412810616371036,,-0.1722528769705558,-0.19857688868583076,-0.21084202069621,-0.208619451019769,-0.2167087369495339,-0.20541845327664668,-0.21393272498662896,-0.2042455208488166,-0.22052186364676943,,,-0.2494373294974364,,,,-0.24798017899368396,-0.22353424060752275,,,-0.19396474315428644,-0.201512985136897,-0.18506858904879217,-0.1975913857445632,-0.21095135002101997,-0.19777893156280735,-0.21312448091914668
22.0,0.13888916622712896,0.06201591763387472,0.022673866713023783,0.09950009307382776,0.14247980640890182,0.2535003801619054,0.22784090376512767,0.11484304331037526,0.23078446687813825,0.2193277352070728,0.4359780420001693,0.22814359921701097,-0.2191428721098434,-0.10984262278150318,,-0.2551346080767507,-0.26455398419217263,-0.14653148558518972,-0.23394211394844983,-0.15023750919050852,-0.23043081439778082,-0.18640588909792777,-0.15689015157349367,0.07901495619601341,0.03216286372462036,-0.010891679256971067,0.15900593551674466,0.17590341516613045,0.0981405926168742
23.0,-0.15581183172670543,-0.18276699726362128,-0.1312852068874342,-0.038044604749270676,-0.17434056715649865,-0.18064275997626758,-0.06780129792548162,-0.07639375224844736,-0.13742051983399475,-0.12136116675024534,0.007963890034048694,-0.12027642856518447,,-0.05525456423765033,-0.027662689551012025,0.031852838712654256,0.09630474684567802,-0.15933690421061295,,-0.17624687944450854,-0.0176240881373996,-0.10463955631245885,-0.16430028915572822,-0.16768210789229696,-0.17414309062145092,-0.17416564977990118,-0.1640268248301739,-0.15054919099035177,
24.0,1.3870758257846165,1.9240459254997666,0.6734234747189206,,1.575362920562727,1.8951792433973185,1.5755222019879982,,1.2092937201983314,1.6967486835597074,1.66362760215698,1.4122345666869731,5.285432081679312,1.9755014059147267,4.399263331799727,,5.550025933435609,0.897023020695473,5.014214499629078,3.0804487502557825,3.1134482664089775,4.021680761281828,3.335435979924779,1.3083874049784736,0.37073708626552493,1.3112987424407971,1.6736052905975076,1.875907692578973,1.6561067046057045
25.0,5.545957612951011,7.462950953439722,,12.611206577542681,7.081696245328431,6.500016728332078,3.5247501672122694,3.9085830696169017,2.8010175615434267,2.9639868955143327,6.776583482724287,5.809906984359794,7.433823562507644,14.806062746532124,10.209957041550904,7.028724181351995,7.183820975938076,13.841428349634764,10.127767444254362,11.589900582929802,7.3074468192232755,,13.399598000080273,7.014645733167736,3.0850493189611146,4.939049123737525,5.207540954452883,4.5629949011324475,4.067339247985618
26.0,-0.20394589512101616,-0.20048287048140467,-0.1950388486869967,-0.16803263001726876,-0.2064967358303885,-0.20122735343905643,-0.2099807717040789,-0.20879046047856112,-0.19732874628745922,-0.21610041683365327,-0.20430214022205107,-0.20660040902089594,,-0.1404875454687658,-0.22589326050824826,-0.23536367525164636,,-0.16610983821147454,-0.22365908687827835,-0.20664400931452886,,-0.2154511600839875,-0.18124799091638719,-0.1836320248141395,-0.17165579629863068,-0.1843687509952789,-0.1964105746218459,-0.1887219029138311,
27.0,,-0.05801055673968374,0.2098183752238957,0.030341072321008786,0.13403020360250079,0.053075481327943826,0.12375222990327853,,0.16784260030372847,0.15871573625373966,0.11013354903568433,0.15565886007245322,0.1456285915492459,0.10535919878119901,0.28508296943531997,0.5068494998357856,0.1753473326689843,0.16802883180530848,0.16351421325817886,0.2764060327503594,0.16264805142185162,-0.007126457839145299,0.029391145776034293,0.007817135219423685,0.14976306913721468,0.1065292134889751,0.2419494043490563,0.2290735009995322,0.19415059829521836
28.0,-0.18576249286736396,-0.12855871853412543,-0.18787323410450302,-0.14814664960910995,-0.11177642349280198,-0.15044349925632516,-0.18257110331037765,-0.20621181123307986,-0.18576145184255397,-0.16374232145168185,-0.1856460567412869,-0.19555642041021287,-0.18947662500773588,-0.10736047951088379,-0.18914936076150787,,-0.1778150649239586,-0.1735796657429714,-0.12989867713171463,-0.16955951087310406,,-0.11676957369744165,-0.12971167921542706,-0.14501115679584145,-0.17353870134674693,-0.1345707987627074,-0.14388063601376094,-0.15598340817973752,-0.1698564656809734
29.0,8.102180301769437,8.89802268346473,,5.390032607461758,7.227723393515544,7.701645568087821,7.639970237393235,7.678698501320887,7.630671289051625,8.212413511898,,6.978350017594769,8.882338363119905,3.933549671647729,7.02728261662012,8.432831116924874,7.870284265459683,4.850804910909053,7.02838798454517,,8.467318303898704,6.7162973526178575,4.756628657188501,5.850552582730491,5.072676431790503,,6.347160351577465,6.001943646898328,7.174856041476588
30.0,-0.20555642503491106,-0.21114679416589566,-0.1939970394746483,-0.17260640551114528,,-0.2066739601565397,-0.20827912084869152,-0.2131663501072566,-0.20238481315570137,-0.2137937703810505,-0.20634043765849266,-0.21375296740151203,-0.22923724730526748,-0.13945650134097004,-0.22035690765187976,,,-0.16774318242390096,-0.2162934354656555,,-0.22713844591836566,-0.2095808993770348,-0.17512865149363868,-0.19381389001896354,-0.1766768764269407,-0.18670645437636785,-0.19618857805086615,-0.1853121980106871,-0.20081889860370292
